Vehiculo|Grupo|Calificacion|kms|Horas conduccion|Excesos 10 kph|Maxima vel 10 kph|Duracion seg 10 kph|Excesos 20 kph|Maxima vel 20 kph|Duracion seg 20 kph|Excesos 30 kph|Maxima vel 30 kph|Duracion seg 30 kph|Excesos 40 kph|Maxima vel 40 kph|Duracion seg 40 kph|Excesos 50 kph|Maxima vel 50 kph|Duracion seg 50 kph|Excesos 60 kph|Maxima vel 60 kph|Duracion seg 60 kph|Excesos 80 kph|Maxima vel 80 kph|Duracion seg 80 kph|Aceleraciones|Frenadas|
LHV959|RHurtado|100|1036.87|35.29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15|
KSP713|CERREJON SOLDADURA|100|1015.42|139.97|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
KOV207||100|982.53|55.34|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
LHT865|RHurtado|100|961.80|32.05|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|
KOV653||100|958.07|84.42|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|
JSL414||100|951.94|119.42|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|
LHT927||100|947.30|80.05|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|
KTR522||100|936.92|66.93|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
JRN784||100|913.76|70.94|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|7|
NHQ437||100|883.47|115.03|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
ESX962|ENEL2024|100|873.38|117.06|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
GQV768||100|858.98|69.74|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
KSZ330|ECOPETROL VRC-RIO CASABE|100|820.78|124.79|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
WDP291||100|808.61|62.86|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
GQV131|ECOPETROL VRC CIRA|100|796.72|92.83|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
UBV000|ECOPETROL VRC-MARES CENTRO|100|795.25|52.59|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|19|
LUL082|ECOPETROL O&M RUBIALES|100|775.82|89.40|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
TTS993||100|742.59|104.40|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
LFZ655||100|676.25|72.80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
LZK447|ECOPETROL VRC-RIO CASABE|100|599.86|65.28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
EYZ587|ECOPETROL VRC-TIBÚ|100|541.22|61.19|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
JTV356||100|464.42|28.95|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|
TAR553|Equirent S.A|100|381.27|129.81|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
FSO042|ECOPETROL VRC-RIO CANTAGALLO|100|297.12|24.77|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|
SSZ805||100|272.69|41.88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
EYY761|ECOPETROL VRC-TIBÚ|100|258.82|14.49|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14|
GHP708||100|200.68|13.28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
FST050||100|178.23|54.61|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
GSN630|RHurtado|100|174.70|15.10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|
GUR715|ENEL2024|100|152.05|86.95|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|
LHT859|RHurtado|100|138.92|40.61|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|11|
WNN254||100|133.23|23.56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
TAR837||100|118.37|30.82|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
